city_id,city_name,country,continent,vacation_types,seasons,budget,vibe
c000,New York,United States,North America,City,Fall|Spring|Summer,Luxury|Premium,Busy|Moderate
c001,Los Angeles,United States,North America,City,Fall|Spring|Summer,Luxury|Premium,Busy|Moderate
c002,Chicago,United States,North America,City|Historical,Fall|Spring|Summer,Mid-Range|Luxury,Moderate|Quiet
c003,Mexico City,Mexico,North America,City|Historical,Fall|Spring|Summer,Budget Friendly|Mid-Range,Busy|Moderate
c004,Toronto,Canada,North America,City,Fall|Spring|Summer,Mid-Range|Luxury,Moderate|Quiet
c005,Vancouver,Canada,North America,City,Fall|Spring|Summer,Budget Friendly|Mid-Range|Luxury,Moderate|Quiet
c006,São Paulo,Brazil,South America,Adventure|City|Nature,Fall|Spring|Summer,Budget Friendly|Mid-Range,Busy|Moderate
c007,Buenos Aires,Argentina,South America,Adventure|City|Nature,Fall|Spring|Summer,Budget Friendly|Mid-Range,Moderate|Quiet
c008,Bogotá,Colombia,South America,Adventure|City|Nature,Fall|Spring|Summer,Budget Friendly|Mid-Range,Moderate|Quiet
c009,Lima,Peru,South America,Adventure|City|Historical|Nature,Fall|Spring|Summer,Mid-Range|Luxury,Moderate|Quiet
c010,London,United Kingdom,Europe,City,Fall|Spring|Summer,Luxury|Premium,Busy|Moderate
c011,Paris,France,Europe,City,Fall|Spring|Summer,Luxury|Premium,Busy|Moderate
c012,Berlin,Germany,Europe,City,Fall|Spring|Summer,Mid-Range|Luxury,Moderate|Quiet
c013,Madrid,Spain,Europe,Beach|City,Fall|Spring|Summer,Mid-Range|Luxury,Moderate|Quiet
c014,Rome,Italy,Europe,City|Historical,Fall|Spring|Summer,Mid-Range|Luxury,Moderate|Quiet
c015,Barcelona,Spain,Europe,Beach|City,Fall|Spring|Summer,Luxury|Premium,Busy|Moderate
c016,Lisbon,Portugal,Europe,Beach|City,Fall|Spring|Summer,Budget Friendly|Mid-Range|Luxury,Moderate|Quiet
c017,Amsterdam,Netherlands,Europe,City,Fall|Spring|Summer,Luxury|Premium,Moderate|Quiet
c018,Prague,Czech Republic,Europe,City|Historical,Fall|Spring|Summer,Mid-Range|Luxury,Moderate|Quiet
c019,Istanbul,Turkey,Europe/Asia,City|Historical,Summer,Mid-Range|Luxury,Busy|Moderate
c020,Moscow,Russia,Europe/Asia,City,Summer,Mid-Range|Luxury,Moderate|Quiet
c021,Cairo,Egypt,Africa,Adventure|City|Historical|Nature,Fall|Spring|Summer|Winter,Budget Friendly|Mid-Range,Busy|Moderate
c022,Cape Town,South Africa,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Mid-Range|Luxury,Moderate|Quiet
c023,Johannesburg,South Africa,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Mid-Range|Luxury,Moderate|Quiet
c024,Casablanca,Morocco,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Budget Friendly|Mid-Range,Moderate|Quiet
c025,Nairobi,Kenya,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Budget Friendly|Mid-Range,Moderate|Quiet
c026,Riyadh,Saudi Arabia,Asia,City,Fall|Spring|Summer|Winter,Luxury|Premium,Busy|Moderate
c027,Dubai,United Arab Emirates,Asia,City,Fall|Spring|Summer|Winter,Luxury|Premium,Busy|Moderate
c028,Doha,Qatar,Asia,City,Fall|Spring|Summer|Winter,Luxury|Premium,Moderate|Quiet
c029,Mumbai,India,Asia,City|Historical|Religious,Fall|Spring|Summer|Winter,Budget Friendly|Mid-Range,Busy|Moderate
c030,Delhi,India,Asia,City|Historical|Religious,Fall|Spring|Summer|Winter,Mid-Range|Luxury,Busy|Moderate
c031,Bangalore,India,Asia,City|Historical|Religious,Fall|Spring|Summer|Winter,Mid-Range|Luxury,Moderate|Quiet
