city_id,city_name,country,continent,vacation_types,seasons,budget,vibe,country_encoded,continent_encoded,seasons_encoded,budget_encoded,vibe_encoded
c000,New York,United States,North America,City,Fall|Spring|Summer,Premium,Busy,51,5,0,3,0
c001,Los Angeles,United States,North America,City,Fall|Spring|Summer,Luxury,Busy,51,5,0,1,0
c002,Chicago,United States,North America,City|Historical,Fall|Spring|Summer,Mid-Range,Moderate,51,5,0,2,1
c003,Mexico City,Mexico,North America,City|Historical,Fall|Spring|Summer,Mid-Range,Busy,28,5,0,2,0
c004,Toronto,Canada,North America,City,Fall|Spring|Summer,Mid-Range,Busy,3,5,0,2,0
c005,Vancouver,Canada,North America,City,Fall|Spring|Summer,Budget Friendly,Moderate,3,5,0,0,1
c006,São Paulo,Brazil,South America,Adventure|City|Nature,Fall|Spring|Summer,Budget Friendly,Busy,2,7,0,0,0
c007,Buenos Aires,Argentina,South America,Adventure|City|Nature,Fall|Spring|Summer,Budget Friendly,Moderate,0,7,0,0,1
c008,Bogotá,Colombia,South America,Adventure|City|Nature,Fall|Spring|Summer,Budget Friendly,Moderate,6,7,0,0,1
c009,Lima,Peru,South America,Adventure|City|Historical|Nature,Fall|Spring|Summer,Mid-Range,Moderate,33,7,0,2,1
c010,London,United Kingdom,Europe,City,Fall|Spring|Summer,Luxury,Busy,50,3,0,1,0
c011,Paris,France,Europe,City,Fall|Spring|Summer,Premium,Busy,12,3,0,3,0
c012,Berlin,Germany,Europe,City,Fall|Spring|Summer,Luxury,Quiet,13,3,0,1,2
c013,Madrid,Spain,Europe,Beach|City,Fall|Spring|Summer,Luxury,Moderate,44,3,0,1,1
c014,Rome,Italy,Europe,City|Historical,Fall|Spring|Summer,Mid-Range,Moderate,21,3,0,2,1
c015,Barcelona,Spain,Europe,Beach|City,Fall|Spring|Summer,Luxury,Moderate,44,3,0,1,1
c016,Lisbon,Portugal,Europe,Beach|City,Fall|Spring|Summer,Budget Friendly,Quiet,36,3,0,0,2
c017,Amsterdam,Netherlands,Europe,City,Fall|Spring|Summer,Luxury,Moderate,30,3,0,1,1
c018,Prague,Czech Republic,Europe,City|Historical,Fall|Spring|Summer,Luxury,Moderate,9,3,0,1,1
c019,Istanbul,Turkey,Europe/Asia,City|Historical,Summer,Mid-Range,Busy,48,4,2,2,0
c020,Moscow,Russia,Europe/Asia,City,Summer,Mid-Range,Moderate,39,4,2,2,1
c021,Cairo,Egypt,Africa,Adventure|City|Historical|Nature,Fall|Spring|Summer|Winter,Luxury,Moderate,10,0,1,1,1
c022,Cape Town,South Africa,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Luxury,Moderate,42,0,1,1,1
c023,Johannesburg,South Africa,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Mid-Range,Quiet,42,0,1,2,2
c024,Casablanca,Morocco,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Budget Friendly,Moderate,29,0,1,0,1
c025,Nairobi,Kenya,Africa,Adventure|City|Nature,Fall|Spring|Summer|Winter,Budget Friendly,Moderate,25,0,1,0,1
c026,Riyadh,Saudi Arabia,Asia,City,Fall|Spring|Summer|Winter,Budget Friendly,Moderate,40,1,1,0,1
c027,Dubai,United Arab Emirates,Asia,City,Fall|Spring|Summer|Winter,Premium,Moderate,49,1,1,3,1
c028,Doha,Qatar,Asia,City,Fall|Spring|Summer|Winter,Luxury,Moderate,38,1,1,1,1
c029,Mumbai,India,Asia,City|Historical|Religious,Fall|Spring|Summer|Winter,Mid-Range,Busy,19,1,1,2,0
c030,Delhi,India,Asia,City|Historical|Religious,Fall|Spring|Summer|Winter,Luxury,Busy,19,1,1,1,0
c031,Bangalore,India,Asia,City|Historical|Religious,Fall|Spring|Summer|Winter,Mid-Range,Moderate,19,1,1,2,1
c032,Bangkok,Thailand,Asia,Beach|City,Fall|Spring|Summer|Winter,Budget Friendly,Moderate,47,1,1,0,1
